n,t,S_L2,S_core,peak,umin,mass_u,peak_v,mass_v,xc,yc,R_0_5,R_0_8
128,8.521303258145365e-05,774.9005586879971,774.8949353396594,39571.604098936594,5.235552922160175e-15,31.415926530267093,414.5230031262783,31.41563933255004,1.2528416936760369e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.571428571428573e-05,779.9355416318242,779.9301860751058,39945.17177229427,5.2778464543192046e-15,31.41592653026709,414.50304675125653,31.415639332694003,1.3078286600448753e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.62155388471178e-05,784.9525430767794,784.947154473142,40317.79797508796,5.3204172360920504e-15,31.415926530267093,414.4831766658941,31.41563933283796,1.359395695222404e-17,0.0,0.012352647110032736,0.02277715583923945
128,8.671679197994988e-05,789.9511205433164,789.9459872958103,40689.43622717847,5.363266976171136e-15,31.415926530267086,414.46339140686547,31.415639332981915,1.3706221300068405e-17,0.0,0.012352647110032736,0.02277715583923945
128,8.721804511278196e-05,794.9308407566721,794.925949774104,41060.04089998569,5.40639739251099e-15,31.415926530267097,414.44368950078285,31.415639333125874,1.360364514778541e-17,0.0,0.012352647110032736,0.02277715583923945
128,8.771929824561404e-05,799.8912796643882,799.8866185683329,41429.567223695645,5.449810212379806e-15,31.415926530267093,414.42406946491803,31.415639333269834,1.448392035371486e-17,0.0,0.012352647110032736,0.02277715583923945
128,8.822055137844612e-05,804.8320224489303,804.8275015394386,41797.97129379627,5.4935071724111984e-15,31.41592653026709,414.4045298079185,31.415639333413797,1.392992026372689e-17,0.0,0.012352647110032736,0.022777155839239442
128,8.872180451127821e-05,809.7526635355899,809.7483535844351,42165.21007695634,5.537490018656181e-15,31.415926530267097,414.3850690305171,31.415639333557753,1.4144570694767053e-17,0.0,0.012352647110032736,0.022777155839239442
128,8.922305764411029e-05,814.6528065958581,814.6486969250058,42531.24141626179,5.581760506635338e-15,31.41592653026709,414.3656856262353,31.41563933370171,1.379720439673937e-17,0.0,0.012352647110032736,0.022777155839239442
128,8.972431077694237e-05,819.5320645464482,819.5281450533306,42896.02403582369,5.626320401391221e-15,31.415926530267097,414.34637808207907,31.415639333845665,1.3980654352809235e-17,0.0,0.012352647110032736,0.022777155839239442
128,9.022556390977445e-05,824.3900595441421,824.3863206691236,43259.517544771996,5.671171477540945e-15,31.415926530267097,414.32714487922755,31.415639333989628,1.5078723662564304e-17,0.0,0.012352647110032736,0.022777155839239442
128,9.072681704260653e-05,829.226422976626,829.2197506651038,43621.68244064913,5.716315519329001e-15,31.415926530267097,414.3079844937138,31.41563933413358,1.4435906569907663e-17,0.0,0.012352647110032736,0.01991804497497183
128,9.122807017543861e-05,834.0407954494779,834.0344384751817,43982.480112217534,5.761754320680279e-15,31.415926530267093,414.2888953970974,31.41563933427754,1.4623432110870202e-17,0.0,0.012352647110032736,0.01991804497497183
128,9.172932330827069e-05,838.8328267694617,838.8267690657393,44341.872841694865,5.80748968525331e-15,31.415926530267093,414.26987605712867,31.415639334421492,1.444760083106507e-17,0.0,0.012352647110032736,0.01991804497497183
128,9.223057644110277e-05,843.602175924276,843.5964022908676,44699.82380643068,5.8535234264937175e-15,31.415926530267093,414.25092493840384,31.41563933456545,1.421573916124188e-17,0.0,0.012352647110032736,0.01991804497497183
128,9.273182957393485e-05,848.3485110589003,848.3430071132282,45056.297080038334,5.899857367687892e-15,31.4159265302671,414.23204050301143,31.415639334709414,1.474477381017437e-17,0.0,0.012352647110032736,0.01991804497497183
128,9.323308270676692e-05,853.0715094486742,853.0662615799499,45411.257632995505,5.946493342016878e-15,31.415926530267097,414.213221211169,31.41563933485337,1.5082618233493794e-17,0.0,0.012352647110032727,0.01991804497497183
128,9.373433583959902e-05,857.7708574692386,857.7658527952215,45764.67133272674,5.9934331926104814e-15,31.415926530267097,414.1944655218505,31.415639334997326,1.5003157560946933e-17,0.0,0.012352647110032727,0.01991804497497183
