t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
1.4000000000000001,0,40000,30370,320.0,242.96,241.08897153868594,0.0,23.402244216744513,30370,2.516697878005598,9.836123343740962,0.14400000000000002,0.03871204917776573,0.10006853391493896,0.1267045840859652,0.23515701718960852,0.9051517591742542,0.8207120955066474,1.1447649297892672,0.12558354493146623,0.2359629977736266,1.0577483270197163,-1.0176009286498084,-1.0342845312438653,0.12375790478581852,0.2276898699359282,-0.80256867219396,1.0450734016454533,-1.0010559187367312,0.12915819742409518,0.24866355355961903,-0.9169897173324904,-0.9027990151011904,0.9372122849903146
1.44,0,40000,30699,320.0,245.592,244.18311722172103,0.0,23.383825409805954,30703,2.514015541999769,9.799118528209494,0.128,0.0398355128464991,0.09155658401329135,0.126203839494825,0.23445514161419603,0.9063023725476675,0.8282460975272157,1.1607464258443017,0.13167274075282748,0.24084734737959365,1.025272360536139,-1.0395745243883496,-1.017428872274313,0.12966568667575984,0.23668987107110886,-0.7961655064890074,1.0512610482572793,-1.0074402897629744,0.1303514348150504,0.2479904543640733,-0.916211809685402,-0.8910892628413771,0.9543436168471366
1.48,0,40000,31106,320.0,248.848,247.15593971717993,0.0,23.815494723809994,31106,2.5377183781787553,9.834108444769146,0.112,0.033720151116165574,0.09991855326958225,0.1271088302715081,0.23630317920050847,0.9202629494314749,0.8420764697764209,1.126198564508658,0.13390279248200312,0.24959828187247954,1.035841335050267,-1.0202752256267074,-1.0095170163245752,0.13190196901179896,0.2409386937819355,-0.7993396357966986,1.046618353922237,-0.9878791772327817,0.130943884159213,0.2510452365112724,-0.9159387321247481,-0.9002193340170788,0.9451370178459966
1.52,0,40000,31473,320.0,251.784,250.01219617529128,0.0,23.435525116735665,31473,2.518977029848365,10.345548907791299,0.07200000000000001,0.03485891029524147,0.096853711115926,0.11953724278392719,0.21937580377505886,0.8993130417162742,0.8113707383553255,1.0929894191002711,0.12683075890072476,0.23320190407885952,1.0554176277480618,-1.015821562880257,-1.0238302835963093,0.13314384973638355,0.24231553159899114,-0.7937262343827065,1.0198187528934977,-0.9852921384896769,0.12394689249973162,0.2382326666302776,-0.9307604515938124,-0.9122909885624706,0.9346652669747426
1.56,0,40000,31802,320.0,254.416,252.7564572157553,0.0,23.563489957307908,31802,2.5183950607591283,10.161532556893828,0.07200000000000001,0.0331980515545698,0.0993654807308325,0.1269671536943937,0.2324596829982285,0.9405621465151155,0.820256791011504,1.0988842342298604,0.1278478874625984,0.238783526091405,1.0586165827949436,-1.0067317610354243,-1.010208479298809,0.13413217103937675,0.2476861378023106,-0.803306907341554,0.9937279191513086,-0.9996428375622299,0.12086899175500393,0.23194498751277304,-0.9050586195007124,-0.8860585038430804,0.942404891655718
1.6,0,40000,32147,320.0,257.176,255.3931142417103,0.0,24.3858845660527,32147,2.522173295559243,10.063522419825043,0.08,0.03353994892425683,0.0997391163077815,0.13045892094802053,0.24111054337544044,0.9279452783007107,0.8239952341006607,1.0964941749750636,0.12954370183324349,0.2388481935184802,1.032704366317077,-1.0401225643489518,-0.9955827069998566,0.12350541014386168,0.22307024560158945,-0.8248348530741616,0.9511854194814937,-1.0134890810171262,0.12016637607428113,0.22984600703627783,-0.9262223268665037,-0.8800714368105975,0.9565748915646974
1.6400000000000001,0,40000,32508,320.0,260.064,257.92638646691455,0.0,23.96411195480615,32508,2.5074468233780522,10.018836592817909,0.064,0.036872080706500374,0.10414877813597574,0.1298471905030555,0.23804275931730037,0.9410623021000264,0.8199135570984142,1.096499250087315,0.13154981490437567,0.24211238544254254,1.025645126915527,-1.0201483564011067,-1.0241820298877604,0.123775409457308,0.2219972993339714,-0.8371895521653894,0.9968442868687175,-1.017543710188301,0.12042606229912492,0.2257555207502697,-0.9249521843602189,-0.8487660403198669,0.9523191212582818
1.68,0,40000,32864,320.0,262.912,260.3603276673888,0.0,24.00516535998713,32864,2.535368897955154,10.39619184572945,0.08,0.03049613471159425,0.100929476264095,0.12524191886657776,0.23046613587161258,0.943562394867957,0.814300850324952,1.0878651842576064,0.12689799687207606,0.23415940081391165,1.0141060716849406,-1.0025283627546484,-1.0153811750819468,0.12384438031941797,0.22525627069786927,-0.8207240294334994,0.9687825714861296,-1.0379923909670978,0.11863285139332592,0.22152909634892556,-0.9424264626389434,-0.8708278741486248,0.9104316473143195
1.72,0,40000,33109,320.0,264.872,262.69883266832215,0.0,23.86731749742766,33109,2.5420862074315482,10.07741763332466,0.056,0.029593753255939537,0.10591822869245107,0.1261670803672379,0.23328095125150622,0.9556626168639113,0.8079055179112364,1.0856181671383016,0.1323254047013792,0.24131388410731322,1.0017325549915812,-0.9866732951612667,-1.0008099440854297,0.1321194995376287,0.24321723080131133,-0.8335883016953476,0.9448890257948426,-1.0505315594972569,0.11678784192526762,0.22024396735737872,-0.9442977493893299,-0.8714624605839703,0.9065201898033122
1.76,0,40000,33330,320.0,266.64,264.94564357662387,0.0,23.749044006916634,33330,2.562078940290183,10.214562570752797,0.064,0.02742362542743475,0.09524149637528868,0.12633992282528345,0.2309922122829073,0.9653455757745064,0.819606413038918,1.0836937795933794,0.12547392518588613,0.23191334563113358,1.0272257224855208,-0.9947546832378764,-0.9870851412336359,0.13310014751871768,0.24285288524048745,-0.7865615708732259,0.9384189747577922,-1.0434820230657653,0.1238928878418466,0.23128713477755886,-0.9717942909290667,-0.8441345849660697,0.8746398997836557
