seed,d,method,t,total_mass,moment_m,local_mass_B,N_active,N_local_B,global_nESS,local_nESS_B,max_w_over_mean_w,runtime_s
2,4,poisson,0.7000000000000001,1.5393,0.7110995336707671,0.72405,30786,14481,nan,nan,nan,15.68328309059143
2,4,minvar,0.7000000000000001,1.53485,0.7119885659471107,0.72225,30697,14445,nan,nan,nan,15.68328309059143
2,4,weighted,0.8,1.582191680021282,0.728881543693834,0.7411737542360928,20000,5864,0.8044614698885334,0.9397973754502528,2.763030339748064,15.68328309059143
2,4,poisson,0.8,1.5846,0.7289523115138592,0.7437,31692,14874,nan,nan,nan,15.68328309059143
2,4,minvar,0.8,1.5774,0.7273777124285546,0.7402,31548,14804,nan,nan,nan,15.68328309059143
2,4,weighted,0.9,1.6199574475125287,0.7396629445706668,0.7540727855257221,20000,5577,0.7754099769206618,0.9298844939035548,3.0040100647769736,15.68328309059143
2,4,poisson,0.9,1.62345,0.7400135353171831,0.75505,32469,15101,nan,nan,nan,15.68328309059143
2,4,minvar,0.9,1.6187,0.7385789644964023,0.75225,32374,15045,nan,nan,nan,15.68328309059143
2,4,weighted,1.0,1.6532748878957104,0.7467399148696257,0.7602950211585932,20000,5269,0.746551236841988,0.9196747191762215,3.263986918292218,15.68328309059143
2,4,poisson,1.0,1.6555,0.747630415730627,0.7633,33110,15266,nan,nan,nan,15.68328309059143
2,4,minvar,1.0,1.65295,0.7474324532474524,0.761,33059,15220,nan,nan,nan,15.68328309059143
2,4,weighted,1.1,1.6832127475174643,0.7513166131903464,0.7646868776145905,20000,4989,0.7178101147976829,0.9081922904994447,3.537800490476222,15.68328309059143
2,4,poisson,1.1,1.6859,0.7526130896046579,0.76675,33718,15335,nan,nan,nan,15.68328309059143
2,4,minvar,1.1,1.68335,0.7515442997464483,0.76615,33667,15323,nan,nan,nan,15.68328309059143
2,4,weighted,1.2,1.710463694546324,0.7549292348027907,0.7637497555041696,20000,4674,0.6891249290358299,0.8980631112509662,3.835160243020887,15.68328309059143
2,4,poisson,1.2,1.71235,0.7544562764681964,0.76835,34247,15367,nan,nan,nan,15.68328309059143
2,4,minvar,1.2,1.7097,0.7530318321909201,0.7655,34194,15310,nan,nan,nan,15.68328309059143
2,4,weighted,1.3,1.735633377038058,0.7557764119818103,0.7689911982576573,20000,4437,0.6605439023048796,0.8873447727870668,4.147856655163862,15.68328309059143
2,4,poisson,1.3,1.74,0.7564261189051005,0.7684,34800,15368,nan,nan,nan,15.68328309059143
2,4,minvar,1.3,1.7353,0.7540519811410807,0.76535,34706,15307,nan,nan,nan,15.68328309059143
2,4,weighted,1.4000000000000001,1.7594798146714874,0.7556260743700717,0.7663162791909812,20000,4148,0.6319967930341657,0.8777472254320557,4.464849128842062,15.68328309059143
2,4,poisson,1.4000000000000001,1.7603,0.754337011947539,0.7648,35206,15296,nan,nan,nan,15.68328309059143
2,4,minvar,1.4000000000000001,1.7615,0.7551943014736798,0.7657,35230,15314,nan,nan,nan,15.68328309059143
2,4,weighted,1.5,1.7821659139051953,0.7557939213747823,0.762498188968994,20000,3868,0.6035878279158435,0.8685934085502707,4.774185605165525,15.68328309059143
2,4,poisson,1.5,1.7837,0.7546948350304259,0.76635,35674,15327,nan,nan,nan,15.68328309059143
