seed,d,method,t,step,total_mass,M_v_chem,c_inf_grid,rho_inf_grid,c_inf_part,rho_inf_part,R_core_0p5,R_core_0p9,xc0,xc1,xc2,N_active,global_nESS,max_w_over_mean_w,N_local_B,local_ESS_B,local_mass_B,corr_r_c,corr_r_rho,mean_Sc,mean_Srho,mean_r,mean_Sc_in,mean_Sc_out,mean_r_in,mean_r_out,frac_mass_rpos,frac_mass_rneg,cfl_proxy,n_resample_events,mass_jump_resample,runtime_s
1,6,weighted_resample,0.5,250,1.2583340818082387,1.2583340818082387,0.1047558121184334,0.6912093135649624,0.11018885425186128,0.7675840929474127,0.7546182819530366,1.2788656624632029,0.000746936046672792,0.006362211479566429,0.00890531374950484,12000,0.9967663115847172,1.1528141630840554,4772,0.99788474801541,0.5259054839271505,0.9539570592525398,0.8960687463175959,0.6000066995831551,0.45358189429040485,0.6392811154614055,0.7809290485852319,0.4190642782696057,0.7582932089749491,0.5202558182291221,1.0,0.0,0.006398785229454362,0,0.0,13457.308094263077
1,6,poisson,0.5,250,1.2614166666666666,1.2614166666666666,0.10628254415706949,0.7115523847475638,0.11179589660880036,0.7909023487426637,0.7446460219798547,1.2918393201535885,0.0021342142632198783,0.008136235055518621,0.007688608641280831,15137,1.0,1.0,6361,1.0,0.5300833333333334,0.943575189334442,0.8751221957064835,0.6054126846080098,0.4567085896856019,0.6515249693752333,0.7899036667875466,0.42089732465598606,0.7688416285238063,0.5341928085539397,1.0,0.0,0.006309251312923172,0,0.0,13457.308094263077
1,6,minvar,0.5,250,1.2565833333333334,1.2565833333333334,0.10445795389997786,0.6893149986073339,0.10999917365117864,0.7713201947988632,0.7551054264734224,1.2982728933421952,0.006879441798912387,0.0077821432642437675,0.011102286651534392,15079,1.0,1.0,6212,1.0,0.5176666666666667,0.9487248581339958,0.8841032393428695,0.5968293192762482,0.4507666599897122,0.6350172971358558,0.7796375419244259,0.41399684828974315,0.7529409039076751,0.5170780485538797,1.0,0.0,0.007113487898271641,0,0.0,13457.308094263077
1,6,weighted,0.6,300,1.34761554576954,1.34761554576954,0.11383967759716679,0.7704246332805099,0.11964138655061687,0.8565685351761513,0.7481875751598417,1.2835055869255876,-9.37591266197535e-05,0.006504879350827989,0.008721636415831447,12000,0.9949913788528466,1.1788627896950032,4775,0.9972412472200733,0.5704948539709754,0.9266277549278827,0.814956137772731,0.6355529852669151,0.4689566706582028,0.7353419290930524,0.8236432408672073,0.4474627259944781,0.8603894677261104,0.6102943880186522,1.0,0.0,0.006932146296545194,0,0.0,13457.308094263077
1,6,weighted_resample,0.6,300,1.34761554576954,1.34761554576954,0.11383967759716679,0.7704246332805099,0.11964138655061687,0.8565685351761513,0.7481875751598417,1.2835055869255876,-9.37591266197535e-05,0.006504879350827989,0.008721636415831447,12000,0.9949913788528466,1.1788627896950032,4775,0.9972412472200733,0.5704948539709754,0.9266277549278827,0.814956137772731,0.6355529852669151,0.4689566706582028,0.7353419290930524,0.8236432408672073,0.4474627259944781,0.8603894677261104,0.6102943880186522,1.0,0.0,0.006932146296545194,0,0.0,13457.308094263077
1,6,poisson,0.6,300,1.3496666666666666,1.3496666666666666,0.11585419734974275,0.8009811181110047,0.12191728702012289,0.8914750442448564,0.7361403930594892,1.2932661398487608,0.002375031189065814,0.009237116852294645,0.007413312763157939,16196,1.0,1.0,6947,1.0,0.5789166666666666,0.9056403841348525,0.7815139669410929,0.6419864132690639,0.47299297584031325,0.7489667255553161,0.8335829215007251,0.4503899050374028,0.8699869301028768,0.6279465210077553,1.0,0.0,0.006564576443838023,0,0.0,13457.308094263077
1,6,minvar,0.6,300,1.3439166666666666,1.3439166666666666,0.11336118284301745,0.7704301611602664,0.11955194679786518,0.8649695718173732,0.7473428966395199,1.3065429335900531,0.007384432193144726,0.00909801965308337,0.010159864490714605,16127,1.0,1.0,6791,1.0,0.5659166666666666,0.9193637986293114,0.8002358072711642,0.6315794692788446,0.465800780295317,0.7289155362294275,0.8218054857974885,0.44132986029876975,0.8539515605644926,0.603864004511957,1.0,0.0,0.007072050635031824,0,0.0,13457.308094263077
1,6,weighted,0.7000000000000001,350,1.457845476138424,1.457845476138424,0.12511362137823256,0.8668813445105753,0.13189131648449529,0.9725108463866284,0.738412420706381,1.2876449785577777,-0.0005860872182407615,0.00658149155564417,0.00867031404396985,12000,0.9927684529214239,1.1992476315759104,4794,0.9966815661794837,0.6261600089723752,0.8456058737225541,0.6756144307717056,0.6750375388634766,0.48663260084541354,0.8402523529176653,0.8669458011076266,0.48311412546717486,0.9592783019408136,0.7212170067990372,1.0,0.0,0.006686657098498484,0,0.0,13457.308094263077
1,6,weighted_resample,0.7000000000000001,350,1.457845476138424,1.457845476138424,0.12511362137823256,0.8668813445105753,0.13189131648449529,0.9725108463866284,0.738412420706381,1.2876449785577777,-0.0005860872182407615,0.00658149155564417,0.00867031404396985,12000,0.9927684529214239,1.1992476315759104,4794,0.9966815661794837,0.6261600089723752,0.8456058737225541,0.6756144307717056,0.6750375388634766,0.48663260084541354,0.8402523529176653,0.8669458011076266,0.48311412546717486,0.9592783019408136,0.7212170067990372,1.0,0.0,0.006686657098498484,0,0.0,13457.308094263077
1,6,poisson,0.7000000000000001,350,1.4616666666666667,1.4616666666666667,0.12738160503096752,0.9049900950986757,0.13425642425626616,1.0096334958596778,0.7279438697044708,1.2951847816687279,0.0010637737450335059,0.007873513959867854,0.008360381522439711,17540,1.0,1.0,7691,1.0,0.6409166666666667,0.8102830093997332,0.6281339377205848,0.6807938375557492,0.4902813477993098,0.8523313068250671,0.8754885278910701,0.4860991472204279,0.965195056283576,0.7394675573665581,1.0,0.0,0.006065530358615258,0,0.0,13457.308094263077
