seed,method,m,group,is_late,amplitude,local_eff,E_m,local_L2
4,weighted,0,0,0,1.0,30.150046369280087,0.06872222253066385,1.3746102451733702
4,weighted,1,1,0,1.0,24.752092580170558,0.07794302473662565,1.3391162772048353
4,weighted,2,0,0,1.0,17.10202461514266,0.21188933737510066,1.2012137354927557
4,weighted,3,1,0,1.0,27.130373011827963,0.0405474130945765,1.3000935794708297
4,weighted,4,2,0,1.0,31.24468296510903,0.22015468295071666,1.7524659216094596
4,weighted,5,3,1,1.0,30.873526917592244,0.023573937698935954,0.8043916717647587
4,weighted,6,2,0,1.0,18.15940296110345,0.2897919510457654,0.9828777434251508
4,weighted,7,3,1,1.0,36.28388096966333,0.026778061131104654,1.119816781846589
4,weighted,8,0,0,1.0,22.835880951502382,0.05688531985783275,1.2417861666374659
4,weighted,9,1,0,1.0,26.542922440760915,0.11257604299689167,0.9494438628565038
4,weighted,10,0,0,1.0,20.80801008479753,0.13599187280332495,1.145432493119844
4,weighted,11,1,0,1.0,30.056536056768206,0.08740629379749622,1.1933405921609221
4,weighted,12,2,0,1.0,29.280299451567842,0.016287092525511703,0.9916013782185139
4,weighted,13,3,1,1.0,41.71430381215966,0.17107260720950956,0.9782073301340408
4,weighted,14,2,0,1.0,30.235422228921134,0.08396319928265901,1.209082400581671
4,weighted,15,3,1,1.0,33.06449520311412,0.04493496445709254,0.8932155562097714
4,weighted_ess_resample,0,0,0,1.0,318.0,0.03325543095410117,0.2604336688889323
4,weighted_ess_resample,1,1,0,1.0,362.0,0.11761033940896808,0.3035001519277487
4,weighted_ess_resample,2,0,0,1.0,275.0000000000001,0.163978753183578,0.37006895291254444
4,weighted_ess_resample,3,1,0,1.0,509.99999999999994,0.2431456544238295,0.37109644720919527
4,weighted_ess_resample,4,2,0,1.0,928.9999999999818,0.17827182566400618,0.2926288807990981
4,weighted_ess_resample,5,3,1,1.0,221.13962542014352,0.2398596253640894,0.4564973872387332
4,weighted_ess_resample,6,2,0,1.0,835.9999999999816,0.06031781127414877,0.25939207412301973
4,weighted_ess_resample,7,3,1,1.0,261.7756719248018,0.10101789807393703,0.5163041261037123
4,weighted_ess_resample,8,0,0,1.0,310.99999999999994,0.054535971782155884,0.30667695308773124
4,weighted_ess_resample,9,1,0,1.0,381.0000000000001,0.07129706993043283,0.3373449622996264
4,weighted_ess_resample,10,0,0,1.0,367.0000000000001,0.11570835484227955,0.41579868818441973
4,weighted_ess_resample,11,1,0,1.0,371.0,0.09567247491913569,0.29905545075668394
4,weighted_ess_resample,12,2,0,1.0,861.9999999999836,0.09329421583103889,0.2406810709820636
4,weighted_ess_resample,13,3,1,1.0,300.251760820104,0.05009187170116205,0.4424362610400546
4,weighted_ess_resample,14,2,0,1.0,642.9999999999865,0.1844684745487335,0.27412645828133786
4,weighted_ess_resample,15,3,1,1.0,292.90363337358275,0.08299227674965548,0.4905832776818478
