seed,method,m,group,is_late,amplitude,cx,cy,M_ref,M_method,E_m,local_L2,local_eff
2,weighted,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.7771881384254935,0.03229466164477763,1.0161351770669103,31.973296338938056
2,weighted,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,4.042268419467659,0.13475981151739355,1.2328037222242259,27.937408083993923
2,weighted,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,3.643757978836106,0.06647910599868363,1.0526716820699045,33.09841483792454
2,weighted,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,0.982889876098942,0.33863865747332234,0.9389152557000391,24.79807516756499
2,weighted,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,2.0751333197425907,0.11955946848892612,1.1407167985010085,25.88743241976678
2,weighted,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.7761679718463317,0.1951377900802869,1.3931208105139548,27.49035028023394
2,weighted,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.5826442485034975,0.14614432875020197,0.9950357835801992,25.347696766652767
2,weighted,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,3.927694439214983,0.10259620070664831,1.5680255121169038,29.06454343809825
2,weighted,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,4.606894738715028,0.18027391501696788,1.0132081073393984,45.82154074461247
2,weighted,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.8373362545337755,0.07723053322051848,1.2277142173227622,29.03887946520484
2,weighted,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.037985066724969,0.03452080279413145,0.7703957637156966,36.654213203652894
2,weighted_ess_resample,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.658865801496112,0.11620817370045053,0.3926346863104759,359.9999999999999
2,weighted_ess_resample,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.7141613282126518,0.07518927711300871,0.3255998855577373,372.00000000000006
2,weighted_ess_resample,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.3455244834357354,0.0946311479985235,0.352069712336809,291.9999999999999
2,weighted_ess_resample,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.340916522876026,0.27655935387066,0.3929267785155672,291.00000000000006
2,weighted_ess_resample,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.2163596248219677,0.0970922108839605,0.2613313305992372,697.9999999999701
2,weighted_ess_resample,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.061151861390156,0.2157412103337537,0.497009768632647,214.470653613337
2,weighted_ess_resample,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,4.866011178822668,0.3660037768717796,0.4644809975785315,1055.9999999999602
2,weighted_ess_resample,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,3.941024800816426,0.009679846111697669,0.4947708469959704,265.5028492121677
2,weighted_ess_resample,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.3363085623163125,0.10083230451908176,0.3662489103327345,289.99999999999994
2,weighted_ess_resample,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,2.059758370191009,0.11126449766259475,0.33744478356427193,446.9999999999999
2,weighted_ess_resample,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.4376836946299638,0.032619582792942796,0.3788360834321849,312.0
