seed,method,t,total_mass,L1_err,L2_rel_err,peak_height,peak_height_err,peak_loc_err,local_mass_B,local_mass_B_err,global_nESS,local_nESS_B,max_w_over_mean_w,N_active,N_local_B,runtime_s
2,poisson,0.894,155.3961837628588,15.387892205999929,0.07223038641156972,298.6404092508293,13.600301559906939,0.03471002295436212,119.26260857245505,7.55424897209538,nan,nan,nan,77189,59256,86.04856991767883
2,minvar,0.894,156.37459448600265,12.709004043889383,0.051763162704903484,302.00575430816116,10.234956502575074,0.0,121.37883421291781,5.438023331632621,nan,nan,nan,77675,60362,86.04856991767883
2,weighted,0.9460000000000001,201.35920548153052,87.14221322233942,0.25398213725539315,467.3782179790794,52.307937528728075,0.12271846303085124,163.33690064280512,2.898715376019851,0.022867267916203266,0.4509981635944062,121.72562787775325,20000,nan,86.04856991767883
2,poisson,0.9460000000000001,196.11498064826452,18.285503388792698,0.06806510004665788,396.97805654113415,18.092223909217182,0.03471002295436212,156.4406510560917,9.794964962733275,nan,nan,nan,97415,77681,86.04856991767883
2,minvar,0.9460000000000001,197.17391900294285,14.954035933467605,0.05220610704670463,401.35438299910595,13.715897451245382,0.024543692606170175,158.65949303902264,7.576122979802335,nan,nan,nan,97941,78821,86.04856991767883
2,weighted,1.0,258.23031586605435,95.48385660958672,0.21165380112784446,622.7228802430227,65.53748590595228,0.04908738521234035,212.1390048927033,8.214617154861344,0.020318838740796444,0.4279993269736471,137.38217770686123,20000,nan,86.04856991767883
2,poisson,1.0,251.2603027230709,21.76764776884957,0.06715472469311498,536.5406415390945,20.64475279797591,0.03471002295436212,206.82289941965158,13.530722627913065,nan,nan,nan,124807,102823,86.04856991767883
2,minvar,1.0,253.6137227546658,18.66074890159115,0.05375213067034654,533.326840983214,23.85855335385645,0.024543692606170175,210.13419772800063,10.219424319564013,nan,nan,nan,125976,104492,86.04856991767883
3,weighted,0.0,40.263815767235954,7.17957981337871,0.22290360179149474,2.0507510440537553,0.5510521497760563,0.17698708436154653,1.50094260995729,0.022043680568017976,1.0,1.0,1.0,20000,nan,85.32381510734558
3,poisson,0.0,40.263815767235954,7.17957981337871,0.22290360179149474,2.0507510440537553,0.5510521497760563,0.17698708436154653,1.5009426099572896,0.022043680568017532,nan,nan,nan,20000,742,85.32381510734558
3,minvar,0.0,40.263815767235954,7.17957981337871,0.22290360179149474,2.0507510440537553,0.5510521497760563,0.17698708436154653,1.5009426099572896,0.022043680568017532,nan,nan,nan,20000,742,85.32381510734558
3,weighted,0.052000000000000005,39.12001265163641,6.73689897966775,0.215904187565341,2.944363607791343,0.8104238063254008,0.23284191247959618,1.93811167955489,0.04357382875764437,0.9945383033260029,0.9960638113988457,1.479386734763415,20000,nan,85.32381510734558
3,poisson,0.052000000000000005,39.20286422176929,7.165723794295094,0.2288760484245001,3.055419625218554,0.9214798237526116,0.2798411515074274,1.944534445657696,0.04999659486045038,nan,nan,nan,19473,972,85.32381510734558
3,minvar,0.052000000000000005,39.06999362973741,7.210064143910104,0.23027671081632112,2.868305112468753,0.7343653110028106,0.1916923672228938,1.8733681740400354,0.021169676757210265,nan,nan,nan,19407,925,85.32381510734558
3,weighted,0.10400000000000001,38.21295800679202,6.997902588134511,0.22704856025500367,3.8599246085783183,0.8473586681294818,0.06942004590872423,2.5045253650226704,0.07617098266717948,0.9720524764025146,0.9843764038595556,2.1721572447088633,20000,nan,85.32381510734558
3,poisson,0.10400000000000001,38.19425563680002,6.778497706424043,0.22201694294626448,3.851985086092813,0.8394191456439763,0.27109394553002014,2.4834695615022437,0.05511517914675279,nan,nan,nan,18972,1241,85.32381510734558
3,minvar,0.10400000000000001,38.06138504476815,6.978044518341402,0.2245171099139662,3.6932971337892186,0.6807311933403821,0.21113282705258563,2.404001599629242,0.024352782726249078,nan,nan,nan,18906,1195,85.32381510734558
3,weighted,0.156,37.577775724326855,6.770074833332952,0.22467623487538316,5.3570203357760535,1.13507546371555,0.15522794165306397,3.2107261384322956,0.09498105517766975,0.9212978190439463,0.9656205994604167,3.174964908583092,20000,nan,85.32381510734558
3,poisson,0.156,37.541981821370804,6.9456741900305445,0.22507337890208282,5.22579287944614,1.0038480073856366,0.17698708436154653,3.2396855190529585,0.1239404357983327,nan,nan,nan,18648,1613,85.32381510734558
3,minvar,0.156,37.227924058386364,6.795286931622066,0.217972067270571,4.8822850008146546,0.660340128754151,0.21113282705258563,3.0458005872439187,0.06994449601070718,nan,nan,nan,18492,1521,85.32381510734558
3,weighted,0.21,37.26632256586067,6.637397557073068,0.23434014630831573,8.390029608167927,2.438387118259655,0.25269278136720646,4.2082163477661245,0.16622765796496353,0.8272625588147429,0.9378113712537121,4.6447414621595025,20000,nan,85.32381510734558
3,poisson,0.21,37.187660242619124,7.042466797063312,0.21860002985128998,6.675103586508136,0.7234610965998645,0.15715631300267027,4.162292820376719,0.12030413057555833,nan,nan,nan,18472,2050,85.32381510734558
3,minvar,0.21,36.84340461780926,6.915479647044952,0.2132264364934715,7.01716014744595,1.0655176575376784,0.07761397082653178,4.034163358736817,0.007825331064344354,nan,nan,nan,18301,1990,85.32381510734558
3,weighted,0.262,37.37269109293024,6.305193262855255,0.20761808338670482,10.202978787405954,1.9705416989136495,0.07363107781851097,5.477161530070631,0.2755397192172335,0.6972018162949933,0.9057376399431104,6.583106073082715,20000,nan,85.32381510734558
3,poisson,0.262,37.097066657142854,6.987364962626767,0.20130003301550897,9.017202205066987,0.7847651165746825,0.1869191940686621,5.246047875333892,0.04442606448049524,nan,nan,nan,18427,2599,85.32381510734558
3,minvar,0.262,36.847430999385985,6.628190569949831,0.18883837041797907,9.036215243730698,0.803778155238394,0.10976273017251137,5.228498370626106,0.026876559772708752,nan,nan,nan,18303,2599,85.32381510734558
3,weighted,0.314,37.982898339404535,6.621477311192916,0.219799854587102,15.058890733853467,3.734500397250331,0.10119623705793127,7.0671027949285685,0.36168620824121245,0.5455356209082836,0.8699059921511918,9.267983065622797,20000,nan,85.32381510734558
3,poisson,0.314,37.59835116344494,6.786782647556398,0.1775932356802905,11.241303702075948,0.0830866345271879,0.12271846303085124,6.758438267134036,0.05302168044667965,nan,nan,nan,18676,3349,85.32381510734558
3,minvar,0.314,37.34267593332299,6.912253640024972,0.1719105799704168,12.984220140365933,1.659829803762797,0.05488136508625548,6.6736832523717045,0.03173333431565162,nan,nan,nan,18549,3337,85.32381510734558
3,weighted,0.368,39.28423807504906,6.948324850110911,0.1987617171221293,18.85927177938699,3.1723716893360088,0.07761397082653178,9.288703792895172,0.5434818334324021,0.3952415779442944,0.8265839714321731,12.98545638092228,20000,nan,85.32381510734558
3,poisson,0.368,38.8123052088271,6.919262352267555,0.157271583745949,14.272527776387385,1.4143723136635966,0.08849354218077334,8.82280397971062,0.07758202024785099,nan,nan,nan,19279,4369,85.32381510734558
3,minvar,0.368,38.50227382741939,6.921985934079541,0.14850674238028633,17.457850538663294,1.7709504486123127,0.03471002295436212,8.736492103702057,0.008729855760712724,nan,nan,nan,19125,4327,85.32381510734558
3,weighted,0.42,41.32615721845304,7.5728561282782065,0.21697129869749707,22.55578012196443,1.1839096698546676,0.2262816651287173,11.931163612228177,0.6167244214526608,0.2787721315594877,0.7915112261789855,17.70195210708215,20000,nan,85.32381510734558
3,poisson,0.42,40.658401161754874,7.338594239210635,0.14334676170418312,20.161148901074657,1.2107215510351033,0.13217182965987537,11.365944127159915,0.0515049363843989,nan,nan,nan,20196,5677,85.32381510734558
3,minvar,0.42,40.416818267151456,6.898709057318039,0.12208241969488966,20.993186332296656,0.378684119813105,0.0,11.316900995036601,0.0024618042610846658,nan,nan,nan,20076,5603,85.32381510734558
3,weighted,0.47200000000000003,44.32980224025522,9.008205309449458,0.21421376960148217,31.11053606553529,2.109123484787588,0.14311309090844895,15.50039359326489,0.8363597138308876,0.19465063869480465,0.7413217720150566,23.56927209520586,20000,nan,85.32381510734558
3,poisson,0.47200000000000003,43.11650711434462,7.236183613006226,0.11783526324696338,26.793977361207837,2.207435219539864,0.05488136508625548,14.517270953015306,0.14676292641869715,nan,nan,nan,21417,7227,85.32381510734558
3,minvar,0.47200000000000003,43.24333813401141,6.827539723872364,0.09813793555702738,28.63101328124468,0.37039929950302053,0.03471002295436212,14.720115376305353,0.05608149687135011,nan,nan,nan,21480,7346,85.32381510734558
3,weighted,0.526,48.80892119912876,10.509678873048683,0.223514549456569,42.71807870280854,3.04754199015197,0.17868077926164105,20.2458334011311,1.0159826613972633,0.13522552254474587,0.7116841389105517,30.881390571568918,20000,nan,85.32381510734558
3,poisson,0.526,47.330115434385874,7.638914172133326,0.11020809438159572,36.687120719618584,2.983415993037987,0.05488136508625548,18.981434529558975,0.24841621017486304,nan,nan,nan,23510,9458,85.32381510734558
3,minvar,0.526,47.43278816459232,7.157620285694527,0.09028539886516491,40.65112586646583,0.9805891538092624,0.04908738521234035,19.253934735786164,0.02408399605232603,nan,nan,nan,23561,9580,85.32381510734558
3,weighted,0.578,54.80076957584122,13.348240397369237,0.24073782937836471,60.98801811828748,7.5205569635998515,0.13217182965987537,26.468598973460676,1.4628810578582474,0.0975581289323746,0.6648529358396242,39.27368283744006,20000,nan,85.32381510734558
3,poisson,0.578,52.669097405121356,7.999416721091937,0.0971889893567226,50.67834542316254,2.7891157315250865,0.07363107781851053,24.404207736604658,0.6015101789977706,nan,nan,nan,26162,12103,85.32381510734558
3,minvar,0.578,52.95295730628037,7.25879982093326,0.07229638739736659,53.67487811865967,0.2074169639720438,0.024543692606170175,24.952246119308928,0.05347179629350052,nan,nan,nan,26303,12430,85.32381510734558
