t,N,M_raw,M_clip,xc_x_raw,xc_y_raw,xc_x_clip,xc_y_clip,R_0.05_raw,R_0.1_raw,R_0.2_raw,R_0.3_raw,R_0.5_raw,R_0.8_raw,R_0.05_clip,R_0.1_clip,R_0.2_clip,R_0.3_clip,R_0.5_clip,R_0.8_clip,S_L2,peak,u_min
6.215538847117796e-05,80,31.415926530162835,31.415926530162835,1.7362229282761418e-05,1.7362229282779985e-05,1.7362229282761425e-05,1.7362229282779985e-05,0.002012352617942244,0.006392284329676906,0.0075991732021999546,0.011165320629954364,0.01525722632756179,0.027386428307739862,0.002012352617942244,0.006392284329676906,0.0075991732021999546,0.011165320629954364,0.01525722632756179,0.027386428307739862,646.9047108222518,38873.04055378225,-9.094947017729282e-13
6.265664160401004e-05,80,31.415926530162828,31.415926530162828,1.8700944336125977e-05,1.8700944336143984e-05,1.8700944336125983e-05,1.8700944336143984e-05,0.002012238856074359,0.006390419171374492,0.007256951105040578,0.011162056251459062,0.015257901480565326,0.02736052135149166,0.002012238856074359,0.006390419171374492,0.007256951105040578,0.011162056251459062,0.015257901480565326,0.02736052135149166,652.587998180662,39614.8766021486,-9.094947017729282e-13
6.315789473684212e-05,80,31.415926530162828,31.415926530162828,2.000087458890519e-05,2.000087458892432e-05,2.0000874588905195e-05,2.000087458892432e-05,0.0020119279342574515,0.006388512958944895,0.006925783550680051,0.011158446713321796,0.015250589694878094,0.02715735321878419,0.0020119279342574515,0.006388512958944895,0.006925783550680051,0.011158446713321796,0.015250589694878094,0.02715735321878419,658.2026553992944,40351.31001883597,-9.094947017729282e-13
6.36591478696742e-05,80,31.415926530162828,31.415926530162828,2.126537514178381e-05,2.1265375141800925e-05,2.1265375141783818e-05,2.1265375141800925e-05,0.0020114436882441213,0.0063865713917183485,0.00660520537680181,0.01115657967541193,0.015237833730874647,0.02712360327992246,0.0020114436882441213,0.0063865713917183485,0.00660520537680181,0.01115657967541193,0.015237833730874647,0.02712360327992246,663.7502330297939,41081.95436890021,-9.094947017729282e-13
6.416040100250627e-05,80,31.41592653016282,31.41592653016282,2.2527063431292035e-05,2.252706343130977e-05,2.252706343129204e-05,2.252706343130977e-05,0.002010831393891052,0.0063845702230013335,0.00643375546509922,0.011155170924346721,0.015237203199789988,0.027111165202018568,0.002010831393891052,0.0063845702230013335,0.00643375546509922,0.011155170924346721,0.015237203199789988,0.027111165202018568,669.2320113916306,41806.49088450096,-4.547473508864641e-13
6.466165413533835e-05,80,31.415926530162828,31.415926530162828,2.377597502152159e-05,2.3775975021539688e-05,2.3775975021521595e-05,2.3775975021539688e-05,0.0020100931278082225,0.006382523583189427,0.006435250989415871,0.010573835036299377,0.015230493503541893,0.02654305281904929,0.0020100931278082225,0.006382523583189427,0.006435250989415871,0.010573835036299377,0.015230493503541893,0.02654305281904929,674.6492048600555,42524.65796469426,-9.094947017729282e-13
6.516290726817043e-05,80,31.41592653016282,31.41592653016282,2.501007133147967e-05,2.5010071331494144e-05,2.5010071331479673e-05,2.5010071331494144e-05,0.0020092384108365575,0.006380438296033514,0.00643672890774081,0.009611171547256192,0.015216943503404485,0.026516527883705614,0.0020092384108365575,0.006380438296033514,0.00643672890774081,0.009611171547256192,0.015216943503404485,0.026516527883705614,680.0028946810788,43236.243169427755,-9.094947017729282e-13
6.566416040100251e-05,80,31.41592653016282,31.41592653016282,2.623814366188712e-05,2.62381436619028e-05,2.6238143661887127e-05,2.62381436619028e-05,0.0020082831018726523,0.006378309371059936,0.006438199744791008,0.00887475167609936,0.015213807054034632,0.02649245867316896,0.0020082831018726523,0.006378309371059936,0.006438199744791008,0.00887475167609936,0.015213807054034632,0.02649245867316896,685.293971598813,43941.07685589964,-9.094947017729282e-13
6.616541353383459e-05,80,31.41592653016282,31.41592653016282,2.7490339117203993e-05,2.7490339117220883e-05,2.7490339117204e-05,2.7490339117220883e-05,0.0020072517508567395,0.006376106605430364,0.006439699609995192,0.008870734391668954,0.015026686237819305,0.026475701750748412,0.0020072517508567395,0.006376106605430364,0.006439699609995192,0.008870734391668954,0.015026686237819305,0.026475701750748412,690.5230841978164,44639.026875547606,-9.094947017729282e-13
6.666666666666667e-05,80,31.415926530162814,31.415926530162814,2.880283898973949e-05,2.880283898975418e-05,2.88028389897395e-05,2.880283898975418e-05,0.0020061638243002895,0.006373789078255988,0.006441271854843046,0.00886644251393175,0.014301593073148305,0.026473564407718312,0.0020061638243002895,0.006373789078255988,0.006441271854843046,0.00886644251393175,0.014301593073148305,0.026473564407718312,695.6909675037776,45329.99389488828,-4.547473508864641e-13
