seed,method,m,amplitude,local_eff,E_m
2,weighted,15,0.9999999999999999,13.976907724371072,0.0051124488507616125
2,weighted_ess_resample,0,1.0956708580912724,889.6802124939295,0.08560360611253366
2,weighted_ess_resample,1,1.176776695296637,1292.6783692822883,0.0021914865501046917
2,weighted_ess_resample,2,1.2309698831278217,2573.052823422129,0.47207889640018263
2,weighted_ess_resample,3,1.25,2109.5681661902013,0.04806939807934112
2,weighted_ess_resample,4,1.2309698831278217,1883.5248086567474,0.03440362928489114
2,weighted_ess_resample,5,1.176776695296637,944.5606978839276,0.27637198057185713
2,weighted_ess_resample,6,1.0956708580912724,1063.5228058424764,0.34380668662403907
2,weighted_ess_resample,7,1.0,451.9528451145221,0.020731269124012013
2,weighted_ess_resample,8,0.9043291419087276,229.8273176046245,0.16077626189949723
2,weighted_ess_resample,9,0.8232233047033631,178.45293449775326,0.046709099779378045
2,weighted_ess_resample,10,0.7690301168721784,112.83217473981207,0.09632489499755029
2,weighted_ess_resample,11,0.75,91.11719738454129,0.1890889262060595
2,weighted_ess_resample,12,0.7690301168721784,124.25323273181552,0.026836218445640443
2,weighted_ess_resample,13,0.823223304703363,211.447516268543,0.20485743917053145
2,weighted_ess_resample,14,0.9043291419087274,326.22416738024947,0.19635804263256007
2,weighted_ess_resample,15,0.9999999999999999,375.38480884608447,0.17322113741169257
2,minvar_branch,0,1.0956708580912724,109176.0,0.45333873278177167
2,minvar_branch,1,1.176776695296637,116315.0,0.1934783784190943
2,minvar_branch,2,1.2309698831278217,292063.0,0.30606243010552525
2,minvar_branch,3,1.25,361830.0,0.38637803960312367
2,minvar_branch,4,1.2309698831278217,294548.0,0.3171749816399927
2,minvar_branch,5,1.176776695296637,164496.0,0.14060594646918634
2,minvar_branch,6,1.0956708580912724,79367.0,0.05652465014920082
2,minvar_branch,7,1.0,32314.0,0.07821096784219961
2,minvar_branch,8,0.9043291419087276,14187.0,0.14038987058241856
2,minvar_branch,9,0.8232233047033631,8438.0,0.03927859075582081
2,minvar_branch,10,0.7690301168721784,5073.0,0.12357819915345507
2,minvar_branch,11,0.75,5455.0,0.09001435275513633
2,minvar_branch,12,0.7690301168721784,4387.0,0.24209295479721102
2,minvar_branch,13,0.823223304703363,8303.0,0.054649222451344334
2,minvar_branch,14,0.9043291419087274,19887.0,0.20498108435383802
2,minvar_branch,15,0.9999999999999999,37692.0,0.07520183821531434
2,poisson_branch,0,1.0956708580912724,72685.0,0.03242538843479276
2,poisson_branch,1,1.176776695296637,184975.0,0.28260617247928504
2,poisson_branch,2,1.2309698831278217,240152.0,0.07392413525404486
2,poisson_branch,3,1.25,273769.0,0.04896589427108738
2,poisson_branch,4,1.2309698831278217,247330.0,0.10602308692987011
2,poisson_branch,5,1.176776695296637,168449.0,0.1680158245597947
2,poisson_branch,6,1.0956708580912724,82463.0,0.09773825677238077
2,poisson_branch,7,1.0,25237.0,0.2800894409678031
2,poisson_branch,8,0.9043291419087276,14646.0,0.11257842000071201
2,poisson_branch,9,0.8232233047033631,8763.0,0.002275218155162097
2,poisson_branch,10,0.7690301168721784,6248.0,0.07941719134421696
2,poisson_branch,11,0.75,4312.0,0.1383791220751333
2,poisson_branch,12,0.7690301168721784,5699.0,0.015429165577685344
2,poisson_branch,13,0.823223304703363,9247.0,0.05283134288719971
