seed,method,m,amplitude,cx,cy,M_ref,M_method,E_m,local_eff
1,weighted_ess_resample,15,0.9999999999999999,2.356194490192345,2.356194490192345,69.19726433937966,72.54406826836522,0.04836613066914155,541.5541577860143
1,minvar_branch,0,1.0956708580912724,-2.356194490192345,-2.356194490192345,148.2825587440157,194.71150346645132,0.3131112999107819,98642.0
1,minvar_branch,1,1.176776695296637,-0.7853981633974483,-2.356194490192345,284.67508004620794,283.587291098261,0.003821159715737553,143667.0
1,minvar_branch,2,1.2309698831278217,0.7853981633974483,-2.356194490192345,441.41018128244633,481.8123737315001,0.09152981549195735,244089.0
1,minvar_branch,3,1.25,2.356194490192345,-2.356194490192345,515.1724650036236,361.0557899632916,0.2991554974492824,182913.0
1,minvar_branch,4,1.2309698831278217,-2.356194490192345,-0.7853981633974483,441.4101812824476,273.24789352767976,0.38096603767996207,138429.0
1,minvar_branch,5,1.176776695296637,-0.7853981633974483,-0.7853981633974483,284.6750800462278,337.91156764273705,0.18700789541488605,171188.0
1,minvar_branch,6,1.0956708580912724,0.7853981633974483,-0.7853981633974483,148.2825587440179,147.5900642138903,0.004670101028692662,74770.0
1,minvar_branch,7,1.0,2.356194490192345,-0.7853981633974483,69.19726433937538,64.46036026439482,0.06845507723757098,32656.0
1,minvar_branch,8,0.9043291419087276,-2.356194490192345,0.7853981633974483,32.57757740317082,39.74687084406707,0.22006834185891458,20136.0
1,minvar_branch,9,0.8232233047033631,-0.7853981633974483,0.7853981633974483,17.336913934687896,12.20672672326732,0.29591121180777386,6184.0
1,minvar_branch,10,0.7690301168721784,0.7853981633974483,0.7853981633974483,11.425663551126782,9.828152062604783,0.1398178303932689,4979.0
1,minvar_branch,11,0.75,2.356194490192345,0.7853981633974483,9.878529006862887,10.10055314407485,0.022475424940060985,5117.0
1,minvar_branch,12,0.7690301168721784,-2.356194490192345,2.356194490192345,11.425663551126913,9.99790925830352,0.12496029542919396,5065.0
1,minvar_branch,13,0.823223304703363,-0.7853981633974483,2.356194490192345,17.336913934685423,19.66222588785022,0.13412490607758148,9961.0
1,minvar_branch,14,0.9043291419087274,0.7853981633974483,2.356194490192345,32.57757740316995,21.071605396325783,0.3531868519395976,10675.0
1,minvar_branch,15,0.9999999999999999,2.356194490192345,2.356194490192345,69.19726433937966,64.52155181168158,0.06757077136410966,32687.0
1,poisson_branch,0,1.0956708580912724,-2.356194490192345,-2.356194490192345,148.2825587440157,148.96588706740212,0.004608285216915377,75467.0
